Server-ServeSide,Returner-ReturnStrokeType,PointLength,PointDifferential,GameDifferential,P1DominantStrokeHand,P2DominantStrokeHand,P1DominantPlayingDepth,P2DominantPlayingDepth,P1ShotsOutsideSidelines,P2ShotsOutsideSidelines,P1ShortShots,P2ShortShots,Server-ServeSpeed,Server-WideServe,WinnerID,PointOutcome,P1-WINNER,P1-UNFORCED_ERROR,P2-WINNER,P2-UNFORCED_ERROR
P1-AD,P2-BACKHAND,MEDIUM,1,0,FOREHAND,NONE,NEUTRAL,BEHIND_BASELINE,TRUE,FALSE,TRUE,FALSE,P1-AVERAGE,P1-true,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-DEUCE,P2-FOREHAND,SHORT,2,0,NONE,FOREHAND,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P1-AVERAGE,P1-true,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P1-AD,P2-BACKHAND,MEDIUM,1,0,FOREHAND,NONE,NEUTRAL,NEUTRAL,TRUE,FALSE,TRUE,TRUE,P1-SLOW,P1-true,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P1-DEUCE,P2-FOREHAND,SHORT,2,0,NONE,FOREHAND,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P1-AVERAGE,P1-true,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,SHORT,0,1,FOREHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-AD,P1-BACKHAND,MEDIUM,-1,1,NONE,NONE,BEHIND_BASELINE,NEUTRAL,FALSE,FALSE,TRUE,TRUE,P2-SLOW,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-BACKHAND,MEDIUM,0,1,NONE,BACKHAND,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,TRUE,FALSE,P2-SLOW,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-AD,P1-BACKHAND,MEDIUM,-1,1,NONE,FOREHAND,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,TRUE,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-BACKHAND,SHORT,0,1,NONE,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-true,P2,P2-ACE,FALSE,FALSE,FALSE,FALSE
P2-AD,P1-BACKHAND,SHORT,-1,1,BACKHAND,FOREHAND,NEUTRAL,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P2-FAST,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,SHORT,0,1,FOREHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-true,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P2-AD,P1-BACKHAND,LONG,-1,1,NONE,NONE,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,TRUE,P2-SLOW,P2-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,MEDIUM,0,1,NONE,FOREHAND,BEHIND_BASELINE,NEUTRAL,TRUE,FALSE,FALSE,FALSE,P2-FAST,P2-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P2-AD,P1-BACKHAND,MEDIUM,-1,1,BACKHAND,FOREHAND,NEUTRAL,BEHIND_BASELINE,FALSE,FALSE,TRUE,TRUE,P2-AVERAGE,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P1-DEUCE,P2-FOREHAND,MEDIUM,0,0,FOREHAND,FOREHAND,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,TRUE,TRUE,P1-AVERAGE,P1-true,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-AD,P2-BACKHAND,SHORT,1,0,NONE,BACKHAND,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P1-SLOW,P1-true,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P1-DEUCE,P2-FOREHAND,MEDIUM,2,0,NONE,FOREHAND,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P1-AVERAGE,P1-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P1-AD,P2-BACKHAND,SHORT,1,0,NONE,BACKHAND,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P1-FAST,P1-true,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-DEUCE,P2-FOREHAND,SHORT,2,0,NONE,FOREHAND,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P1-SLOW,P1-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-DEUCE,P1-BACKHAND,SHORT,0,1,NONE,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-true,P2,P2-ACE,FALSE,FALSE,FALSE,FALSE
P2-AD,P1-BACKHAND,MEDIUM,-1,1,BACKHAND,BACKHAND,BEHIND_BASELINE,INSIDE_BASELINE,FALSE,FALSE,TRUE,TRUE,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,SHORT,0,1,FOREHAND,FOREHAND,BEHIND_BASELINE,INSIDE_BASELINE,FALSE,TRUE,FALSE,FALSE,P2-?,P2-true,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-AD,P1-BACKHAND,SHORT,-1,1,BACKHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-DEUCE,P1-BACKHAND,MEDIUM,-2,1,BACKHAND,BACKHAND,BEHIND_BASELINE,NEUTRAL,FALSE,FALSE,TRUE,FALSE,P2-AVERAGE,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P1-DEUCE,P2-FOREHAND,SHORT,0,0,FOREHAND,NONE,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P1-AVERAGE,P1-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P1-AD,P2-BACKHAND,LONG,1,0,NONE,BACKHAND,INSIDE_BASELINE,NEUTRAL,TRUE,TRUE,TRUE,TRUE,P1-SLOW,P1-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P1-DEUCE,P2-FOREHAND,MEDIUM,0,0,BACKHAND,NONE,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,TRUE,P1-AVERAGE,P1-true,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P1-AD,P2-FOREHAND,SHORT,-1,0,NONE,FOREHAND,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P1-AVERAGE,P1-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-DEUCE,P2-FOREHAND,SHORT,0,0,FOREHAND,NONE,BEHIND_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P1-FAST,P1-true,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-AD,P2-BACKHAND,LONG,1,0,NONE,BACKHAND,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,TRUE,FALSE,TRUE,P1-AVERAGE,P1-true,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P1-DEUCE,P2-BACKHAND,LONG,0,0,FOREHAND,FOREHAND,BEHIND_BASELINE,BEHIND_BASELINE,FALSE,FALSE,TRUE,TRUE,P1-SLOW,P1-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P1-AD,P2-FOREHAND,LONG,1,0,BACKHAND,NONE,INSIDE_BASELINE,INSIDE_BASELINE,FALSE,TRUE,TRUE,TRUE,P1-SLOW,P1-true,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-DEUCE,P1-BACKHAND,SHORT,0,1,BACKHAND,BACKHAND,NEUTRAL,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-AD,P1-BACKHAND,MEDIUM,1,1,NONE,NONE,INSIDE_BASELINE,NEUTRAL,FALSE,FALSE,FALSE,TRUE,P2-SLOW,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,MEDIUM,2,1,NONE,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,TRUE,TRUE,P2-SLOW,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-AD,P1-BACKHAND,SHORT,1,1,NONE,FOREHAND,BEHIND_BASELINE,INSIDE_BASELINE,FALSE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-true,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P2-DEUCE,P1-FOREHAND,MEDIUM,0,1,FOREHAND,FOREHAND,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,TRUE,P2-SLOW,P2-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P2-AD,P1-BACKHAND,MEDIUM,-1,1,BACKHAND,FOREHAND,NEUTRAL,INSIDE_BASELINE,FALSE,TRUE,TRUE,TRUE,P2-SLOW,P2-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P1-DEUCE,P2-BACKHAND,SHORT,0,0,NONE,BACKHAND,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P1-AVERAGE,P1-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-AD,P2-BACKHAND,SHORT,1,0,FOREHAND,NONE,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P1-AVERAGE,P1-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-DEUCE,P2-BACKHAND,SHORT,2,0,FOREHAND,BACKHAND,INSIDE_BASELINE,NEUTRAL,FALSE,FALSE,FALSE,TRUE,P1-FAST,P1-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P1-AD,P2-BACKHAND,SHORT,1,0,FOREHAND,BACKHAND,INSIDE_BASELINE,NEUTRAL,TRUE,FALSE,FALSE,FALSE,P1-SLOW,P1-true,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P1-DEUCE,P2-BACKHAND,SHORT,0,0,NONE,BACKHAND,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P1-SLOW,P1-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-AD,P2-FOREHAND,MEDIUM,1,0,FOREHAND,NONE,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,TRUE,P1-?,P1-true,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P1-DEUCE,P2-BACKHAND,SHORT,0,0,FOREHAND,BACKHAND,INSIDE_BASELINE,NEUTRAL,TRUE,FALSE,FALSE,FALSE,P1-AVERAGE,P1-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P1-AD,P2-BACKHAND,MEDIUM,-1,0,NONE,BACKHAND,INSIDE_BASELINE,NEUTRAL,FALSE,FALSE,FALSE,TRUE,P1-SLOW,P1-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P2-DEUCE,P1-BACKHAND,SHORT,0,-1,BACKHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-?,P2-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P2-AD,P1-FOREHAND,LONG,-1,-1,BACKHAND,FOREHAND,BEHIND_BASELINE,NEUTRAL,FALSE,FALSE,TRUE,TRUE,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,MEDIUM,0,-1,NONE,FOREHAND,BEHIND_BASELINE,NEUTRAL,FALSE,TRUE,TRUE,FALSE,P2-SLOW,P2-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P2-AD,P1-BACKHAND,SHORT,-1,-1,BACKHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-?,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-DEUCE,P1-BACKHAND,LONG,-2,-1,BACKHAND,NONE,INSIDE_BASELINE,NEUTRAL,FALSE,TRUE,TRUE,TRUE,P2-?,P2-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-AD,P1-BACKHAND,SHORT,-1,-1,BACKHAND,FOREHAND,NEUTRAL,INSIDE_BASELINE,FALSE,TRUE,FALSE,FALSE,P2-SLOW,P2-true,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-BACKHAND,MEDIUM,0,-1,NONE,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,TRUE,P2-SLOW,P2-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-AD,P1-BACKHAND,SHORT,1,-1,BACKHAND,FOREHAND,INSIDE_BASELINE,INSIDE_BASELINE,FALSE,FALSE,TRUE,TRUE,P2-?,P2-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-DEUCE,P2-BACKHAND,SHORT,0,0,FOREHAND,NONE,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,TRUE,P1-AVERAGE,P1-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P1-AD,P2-BACKHAND,SHORT,-1,0,FOREHAND,BACKHAND,INSIDE_BASELINE,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P1-FAST,P1-true,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-DEUCE,P2-BACKHAND,LONG,0,0,NONE,NONE,INSIDE_BASELINE,NEUTRAL,FALSE,FALSE,TRUE,TRUE,P1-SLOW,P1-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-AD,P2-BACKHAND,MEDIUM,1,0,NONE,NONE,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,TRUE,P1-SLOW,P1-true,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-DEUCE,P2-BACKHAND,SHORT,2,0,NONE,BACKHAND,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P1-FAST,P1-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,SHORT,0,1,FOREHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-FAST,P2-true,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-AD,P1-BACKHAND,SHORT,-1,1,BACKHAND,FOREHAND,NEUTRAL,INSIDE_BASELINE,FALSE,FALSE,FALSE,FALSE,P2-SLOW,P2-true,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-BACKHAND,SHORT,0,1,NONE,FOREHAND,BEHIND_BASELINE,BEHIND_BASELINE,TRUE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-AD,P1-FOREHAND,LONG,-1,1,NONE,FOREHAND,BEHIND_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,TRUE,P2-FAST,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-DEUCE,P1-FOREHAND,SHORT,-2,1,FOREHAND,BACKHAND,NEUTRAL,INSIDE_BASELINE,FALSE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-AD,P1-FOREHAND,LONG,-1,1,FOREHAND,NONE,NEUTRAL,BEHIND_BASELINE,FALSE,FALSE,TRUE,TRUE,P2-SLOW,P2-true,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-DEUCE,P1-BACKHAND,SHORT,0,1,BACKHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-FAST,P2-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P2-AD,P1-FOREHAND,SHORT,-1,1,FOREHAND,BACKHAND,NEUTRAL,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P2-SLOW,P2-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,SHORT,0,1,FOREHAND,FOREHAND,NEUTRAL,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-AD,P1-BACKHAND,SHORT,1,1,NONE,FOREHAND,BEHIND_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P2-SLOW,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-DEUCE,P1-BACKHAND,SHORT,0,1,BACKHAND,FOREHAND,NEUTRAL,INSIDE_BASELINE,FALSE,FALSE,FALSE,FALSE,P2-FAST,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-AD,P1-BACKHAND,SHORT,1,1,NONE,FOREHAND,BEHIND_BASELINE,INSIDE_BASELINE,FALSE,TRUE,FALSE,FALSE,P2-FAST,P2-true,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P2-DEUCE,P1-FOREHAND,MEDIUM,0,1,NONE,BACKHAND,INSIDE_BASELINE,NEUTRAL,FALSE,FALSE,FALSE,TRUE,P2-AVERAGE,P2-true,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-AD,P1-FOREHAND,SHORT,1,1,FOREHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-SLOW,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-DEUCE,P1-BACKHAND,SHORT,0,1,NONE,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-FAST,P2-true,P2,P2-ACE,FALSE,FALSE,FALSE,FALSE
P2-AD,P1-BACKHAND,MEDIUM,-1,1,BACKHAND,NONE,BEHIND_BASELINE,BEHIND_BASELINE,FALSE,FALSE,FALSE,TRUE,P2-SLOW,P2-true,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,MEDIUM,0,1,NONE,NONE,BEHIND_BASELINE,NEUTRAL,TRUE,FALSE,TRUE,FALSE,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-AD,P1-BACKHAND,SHORT,1,1,BACKHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-SLOW,P2-true,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-DEUCE,P1-FOREHAND,SHORT,0,1,NONE,FOREHAND,BEHIND_BASELINE,BEHIND_BASELINE,TRUE,FALSE,FALSE,FALSE,P2-SLOW,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-AD,P1-BACKHAND,MEDIUM,-1,1,BACKHAND,NONE,BEHIND_BASELINE,BEHIND_BASELINE,TRUE,FALSE,FALSE,FALSE,P2-SLOW,P2-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P1-DEUCE,P2-BACKHAND,MEDIUM,0,0,FOREHAND,BACKHAND,NEUTRAL,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P1-SLOW,P1-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-AD,P1-BACKHAND,MEDIUM,1,0,NONE,FOREHAND,BEHIND_BASELINE,NEUTRAL,FALSE,TRUE,FALSE,FALSE,P2-SLOW,P2-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,LONG,2,0,FOREHAND,FOREHAND,INSIDE_BASELINE,BEHIND_BASELINE,FALSE,TRUE,TRUE,TRUE,P2-FAST,P2-true,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P1-AD,P2-BACKHAND,MEDIUM,3,0,FOREHAND,NONE,INSIDE_BASELINE,INSIDE_BASELINE,FALSE,FALSE,TRUE,TRUE,P1-SLOW,P1-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-DEUCE,P2-BACKHAND,MEDIUM,4,0,FOREHAND,FOREHAND,NEUTRAL,BEHIND_BASELINE,FALSE,FALSE,FALSE,FALSE,P1-AVERAGE,P1-false,P1,P1-UNFORCED_ERROR,FALSE,TRUE,FALSE,FALSE
P2-AD,P1-BACKHAND,SHORT,5,0,BACKHAND,FOREHAND,NEUTRAL,INSIDE_BASELINE,FALSE,FALSE,FALSE,FALSE,P2-SLOW,P2-false,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P2-DEUCE,P1-FOREHAND,SHORT,4,0,FOREHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-SLOW,P2-true,P2,P2-WINNER,FALSE,FALSE,TRUE,FALSE
P1-AD,P2-FOREHAND,MEDIUM,3,0,NONE,NONE,INSIDE_BASELINE,NEUTRAL,FALSE,FALSE,FALSE,TRUE,P1-AVERAGE,P1-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P1-DEUCE,P2-FOREHAND,LONG,4,0,NONE,NONE,BEHIND_BASELINE,NEUTRAL,FALSE,TRUE,TRUE,FALSE,P1-AVERAGE,P1-true,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-DEUCE,P1-FOREHAND,SHORT,0,0,FOREHAND,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-FAST,P2-true,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
P2-AD,P1-BACKHAND,SHORT,-1,0,NONE,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-AVERAGE,P2-true,P2,P2-ACE,FALSE,FALSE,FALSE,FALSE
P2-DEUCE,P1-BACKHAND,MEDIUM,-2,0,NONE,NONE,NEUTRAL,INSIDE_BASELINE,FALSE,FALSE,TRUE,FALSE,P2-AVERAGE,P2-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-AD,P1-BACKHAND,MEDIUM,-1,0,FOREHAND,NONE,NEUTRAL,BEHIND_BASELINE,TRUE,FALSE,FALSE,TRUE,P2-AVERAGE,P2-false,P1,P1-WINNER,TRUE,FALSE,FALSE,FALSE
P2-DEUCE,P1-BACKHAND,MEDIUM,0,0,NONE,FOREHAND,BEHIND_BASELINE,BEHIND_BASELINE,FALSE,FALSE,TRUE,TRUE,P2-SLOW,P2-false,P2,P2-UNFORCED_ERROR,FALSE,FALSE,FALSE,TRUE
